loop num, t, h, err, next_h
0, 0, 0.05, 7248.44, 0.00760613
1, 0.00760613, 0.00760613, 0.524349, 0.00778901
2, 0.00778901, 0.00778901, 0.590159, 0.00778988
3, 0.00778988, 0.00778988, 0.59559, 0.00777649
4, 0.00777649, 0.00777649, 0.601084, 0.00774888
5, 0.00774888, 0.00774888, 0.606656, 0.00770714
6, 0.00770714, 0.00770714, 0.612584, 0.00765072
7, 0.00765072, 0.00765072, 0.619551, 0.00757756
8, 0.00757756, 0.00757756, 0.629094, 0.00748219
9, 0.00748219, 0.00748219, 0.644364, 0.00735267
10, 0.00735267, 0.00735267, 0.670781, 0.00716756
11, 0.00716756, 0.00716756, 0.714314, 0.0068998
12, 0.0068998, 0.0068998, 0.77365, 0.00653687
13, 0.00653687, 0.00653687, 0.832609, 0.00610273
14, 0.00610273, 0.00610273, 0.871853, 0.00564518
15, 0.00564518, 0.00564518, 0.887441, 0.00520346
16, 0.00520346, 0.00520346, 0.887415, 0.00479634
17, 0.00479634, 0.00479634, 0.88004, 0.00442845
18, 0.00442845, 0.00442845, 0.869985, 0.00409819
19, 0.00409819, 0.00409819, 0.858946, 0.00380226
20, 0.00380226, 0.00380226, 0.842019, 0.00354176
21, 0.00354176, 0.00354176, 0.832399, 0.00330671
22, 0.00330671, 0.00330671, 0.82351, 0.00309389
23, 0.00309389, 0.00309389, 0.815052, 0.00290075
24, 0.00290075, 0.00290075, 0.806929, 0.00272512
25, 0.00272512, 0.00272512, 0.79906, 0.00256514
26, 0.00256514, 0.00256514, 0.79137, 0.00241924
27, 0.00241924, 0.00241924, 0.783791, 0.00228602
28, 0.00228602, 0.00228602, 0.776263, 0.00216432
29, 0.00216432, 0.00216432, 0.768644, 0.00205314
30, 0.00205314, 0.00205314, 0.760917, 0.00195162
31, 0.00195162, 0.00195162, 0.753219, 0.00185888
32, 0.00185888, 0.00185888, 0.745431, 0.00177424
33, 0.00177424, 0.00177424, 0.737556, 0.00169706
34, 0.00169706, 0.00169706, 0.72963, 0.00162674
35, 0.00162674, 0.00162674, 0.721714, 0.00156275
36, 0.00156275, 0.00156275, 0.713888, 0.00150454
37, 0.00150454, 0.00150454, 0.706238, 0.00145163
38, 0.00145163, 0.00145163, 0.698836, 0.00140354
39, 0.00140354, 0.00140354, 0.691707, 0.00135982
40, 0.00135982, 0.00135982, 0.684802, 0.00132012
41, 0.00132012, 0.00132012, 0.677985, 0.00128413
42, 0.00128413, 0.00128413, 0.67104, 0.00125171
43, 0.00125171, 0.00125171, 0.663714, 0.00122278
44, 0.00122278, 0.00122278, 0.655771, 0.00119741
45, 0.00119741, 0.00119741, 0.647058, 0.0011757
46, 0.0011757, 0.0011757, 0.637534, 0.00115781
47, 0.00115781, 0.00115781, 0.627281, 0.0011439
48, 0.0011439, 0.0011439, 0.616472, 0.00113409
49, 0.00113409, 0.00113409, 0.605342, 0.00112847
50, 0.00112847, 0.00112847, 0.590341, 0.00112853
51, 0.00112853, 0.00112853, 0.574259, 0.00113483
52, 0.00113483, 0.00113483, 0.564127, 0.00114525
53, 0.00114525, 0.00114525, 0.554562, 0.00115972
54, 0.00115972, 0.00115972, 0.545729, 0.00117815
