loop num, max err, min err, sum err, err_count, mean h, attempts, accepts, rejects, max con rejects
1, 0, 0, 0, 0, 0.05, 1, 0, 1, 1
2, 0.524349, 0, 0.524349, 1, 0.00760613, 1, 1, 0, 0
3, 0.590159, 0, 0.590159, 1, 0.00778901, 1, 1, 0, 0
4, 0.59559, 0, 0.59559, 1, 0.00778988, 1, 1, 0, 0
5, 0.601084, 0, 0.601084, 1, 0.00777649, 1, 1, 0, 0
6, 0.606656, 0, 0.606656, 1, 0.00774888, 1, 1, 0, 0
7, 0.612584, 0, 0.612584, 1, 0.00770714, 1, 1, 0, 0
8, 0.619551, 0, 0.619551, 1, 0.00765072, 1, 1, 0, 0
9, 0.629094, 0, 0.629094, 1, 0.00757756, 1, 1, 0, 0
10, 0.644364, 0, 0.644364, 1, 0.00748219, 1, 1, 0, 0
11, 0.670781, 0, 0.670781, 1, 0.00735267, 1, 1, 0, 0
12, 0.714314, 0, 0.714314, 1, 0.00716756, 1, 1, 0, 0
13, 0.77365, 0, 0.77365, 1, 0.0068998, 1, 1, 0, 0
14, 0.832609, 0, 0.832609, 1, 0.00653687, 1, 1, 0, 0
15, 0.871853, 0, 0.871853, 1, 0.00610273, 1, 1, 0, 0
16, 0.887441, 0, 0.887441, 1, 0.00564518, 1, 1, 0, 0
17, 0.887415, 0, 0.887415, 1, 0.00520346, 1, 1, 0, 0
18, 0.88004, 0, 0.88004, 1, 0.00479634, 1, 1, 0, 0
19, 0.869985, 0, 0.869985, 1, 0.00442845, 1, 1, 0, 0
20, 0.858946, 0, 0.858946, 1, 0.00409819, 1, 1, 0, 0
21, 0.842019, 0, 0.842019, 1, 0.00380226, 1, 1, 0, 0
22, 0.832399, 0, 0.832399, 1, 0.00354176, 1, 1, 0, 0
23, 0.82351, 0, 0.82351, 1, 0.00330671, 1, 1, 0, 0
24, 0.815052, 0, 0.815052, 1, 0.00309389, 1, 1, 0, 0
25, 0.806929, 0, 0.806929, 1, 0.00290075, 1, 1, 0, 0
